ProductID,ChannelID,LocationID,Method,Period,StartDate,EndDate,Type,Qty,Level 
PizzaRoma,Pickup,StoreAmsterdamZuid,XGBoost,Daily,25/02/2025,25/02/2025,1,16.988478,111
PizzaRoma,Pickup,StoreAmsterdamZuid,XGBoost,Daily,26/02/2025,26/02/2025,1,14.85155,111
PizzaRoma,Pickup,StoreAmsterdamZuid,XGBoost,Daily,27/02/2025,27/02/2025,1,16.319386,111
PizzaRoma,Pickup,StoreAmsterdamZuid,XGBoost,Daily,28/02/2025,28/02/2025,1,16.56478,111
PizzaRoma,Pickup,StoreAmsterdamZuid,XGBoost,Daily,1/3/25,1/3/25,1,17.930485,111
PizzaRoma,Pickup,StoreAmsterdamZuid,XGBoost,Daily,2/3/25,2/3/25,1,16.527813,111
PizzaRoma,Thuisbezorgd,StoreAmsterdamZuid,XGBoost,Daily,24/02/2025,24/02/2025,1,21.637774,111
PizzaRoma,Thuisbezorgd,StoreAmsterdamZuid,XGBoost,Daily,25/02/2025,25/02/2025,1,18.16121,111
PizzaRoma,Thuisbezorgd,StoreAmsterdamZuid,XGBoost,Daily,26/02/2025,26/02/2025,1,17.047472,111
PizzaRoma,Thuisbezorgd,StoreAmsterdamZuid,XGBoost,Daily,27/02/2025,27/02/2025,1,13.974364,111
PizzaRoma,Thuisbezorgd,StoreAmsterdamZuid,XGBoost,Daily,28/02/2025,28/02/2025,1,18.35764,111
PizzaRoma,Thuisbezorgd,StoreAmsterdamZuid,XGBoost,Daily,1/3/25,1/3/25,1,17.861681,111
PizzaRoma,Thuisbezorgd,StoreAmsterdamZuid,XGBoost,Daily,2/3/25,2/3/25,1,14.715145,111
PizzaRoma,OwnWebsite,StoreArnhemCenter,XGBoost,Daily,24/02/2025,24/02/2025,1,18.239391,111
PizzaRoma,OwnWebsite,StoreArnhemCenter,XGBoost,Daily,25/02/2025,25/02/2025,1,17.810535,111
PizzaRoma,OwnWebsite,StoreArnhemCenter,XGBoost,Daily,26/02/2025,26/02/2025,1,17.960005,111
PizzaRoma,OwnWebsite,StoreArnhemCenter,XGBoost,Daily,27/02/2025,27/02/2025,1,16.440542,111
PizzaRoma,OwnWebsite,StoreArnhemCenter,XGBoost,Daily,28/02/2025,28/02/2025,1,18.403408,111
PizzaRoma,OwnWebsite,StoreArnhemCenter,XGBoost,Daily,1/3/25,1/3/25,1,16.869764,111
PizzaRoma,OwnWebsite,StoreArnhemCenter,XGBoost,Daily,2/3/25,2/3/25,1,17.646399,111
PizzaRoma,Pickup,StoreArnhemCenter,XGBoost,Daily,24/02/2025,24/02/2025,1,17.28617,111
PizzaRoma,Pickup,StoreArnhemCenter,XGBoost,Daily,25/02/2025,25/02/2025,1,18.843678,111
PizzaRoma,Pickup,StoreArnhemCenter,XGBoost,Daily,26/02/2025,26/02/2025,1,17.258827,111
PizzaRoma,Pickup,StoreArnhemCenter,XGBoost,Daily,27/02/2025,27/02/2025,1,16.357424,111
PizzaRoma,Pickup,StoreArnhemCenter,XGBoost,Daily,28/02/2025,28/02/2025,1,17.604462,111
PizzaRoma,Pickup,StoreArnhemCenter,XGBoost,Daily,1/3/25,1/3/25,1,17.545237,111
PizzaRoma,Pickup,StoreArnhemCenter,XGBoost,Daily,2/3/25,2/3/25,1,16.843884,111
PizzaRoma,Thuisbezorgd,StoreArnhemCenter,XGBoost,Daily,24/02/2025,24/02/2025,1,16.81991,111
PizzaRoma,Thuisbezorgd,StoreArnhemCenter,XGBoost,Daily,25/02/2025,25/02/2025,1,15.878621,111
PizzaRoma,Thuisbezorgd,StoreArnhemCenter,XGBoost,Daily,26/02/2025,26/02/2025,1,18.668682,111
PizzaRoma,Thuisbezorgd,StoreArnhemCenter,XGBoost,Daily,27/02/2025,27/02/2025,1,17.597406,111
PizzaRoma,Thuisbezorgd,StoreArnhemCenter,XGBoost,Daily,28/02/2025,28/02/2025,1,17.44034,111
PizzaRoma,Thuisbezorgd,StoreArnhemCenter,XGBoost,Daily,1/3/25,1/3/25,1,16.234564,111
PizzaRoma,Thuisbezorgd,StoreArnhemCenter,XGBoost,Daily,2/3/25,2/3/25,1,15.165597,111
PizzaRoma,OwnWebsite,StoreEdeCenter,XGBoost,Daily,24/02/2025,24/02/2025,1,19.266373,111
PizzaRoma,OwnWebsite,StoreEdeCenter,XGBoost,Daily,25/02/2025,25/02/2025,1,17.219786,111
PizzaRoma,OwnWebsite,StoreEdeCenter,XGBoost,Daily,26/02/2025,26/02/2025,1,18.015816,111
PizzaRoma,OwnWebsite,StoreEdeCenter,XGBoost,Daily,27/02/2025,27/02/2025,1,15.326109,111
PizzaRoma,OwnWebsite,StoreEdeCenter,XGBoost,Daily,28/02/2025,28/02/2025,1,15.984697,111
PizzaRoma,OwnWebsite,StoreEdeCenter,XGBoost,Daily,1/3/25,1/3/25,1,17.022379,111
PizzaRoma,OwnWebsite,StoreEdeCenter,XGBoost,Daily,2/3/25,2/3/25,1,16.729614,111
PizzaRoma,Pickup,StoreEdeCenter,XGBoost,Daily,24/02/2025,24/02/2025,1,15.577927,111
PizzaRoma,Pickup,StoreEdeCenter,XGBoost,Daily,25/02/2025,25/02/2025,1,16.805914,111
PizzaRoma,Pickup,StoreEdeCenter,XGBoost,Daily,26/02/2025,26/02/2025,1,14.10823,111
PizzaRoma,Pickup,StoreEdeCenter,XGBoost,Daily,27/02/2025,27/02/2025,1,16.901045,111
PizzaRoma,Pickup,StoreEdeCenter,XGBoost,Daily,28/02/2025,28/02/2025,1,20.203959,111
PizzaRoma,Pickup,StoreEdeCenter,XGBoost,Daily,1/3/25,1/3/25,1,17.750998,111
PizzaRoma,Pickup,StoreEdeCenter,XGBoost,Daily,2/3/25,2/3/25,1,17.521305,111
PizzaRoma,Thuisbezorgd,StoreEdeCenter,XGBoost,Daily,24/02/2025,24/02/2025,1,21.943985,111
PizzaRoma,Thuisbezorgd,StoreEdeCenter,XGBoost,Daily,25/02/2025,25/02/2025,1,14.675928,111
PizzaRoma,Thuisbezorgd,StoreEdeCenter,XGBoost,Daily,26/02/2025,26/02/2025,1,17.324041,111
PizzaRoma,Thuisbezorgd,StoreEdeCenter,XGBoost,Daily,27/02/2025,27/02/2025,1,15.256056,111
PizzaRoma,Thuisbezorgd,StoreEdeCenter,XGBoost,Daily,28/02/2025,28/02/2025,1,17.097528,111
PizzaRoma,Thuisbezorgd,StoreEdeCenter,XGBoost,Daily,1/3/25,1/3/25,1,17.039766,111
PizzaRoma,Thuisbezorgd,StoreEdeCenter,XGBoost,Daily,2/3/25,2/3/25,1,17.172384,111
PizzaRoma,OwnWebsite,StoreElstCenter,XGBoost,Daily,24/02/2025,24/02/2025,1,20.762085,111
PizzaRoma,OwnWebsite,StoreElstCenter,XGBoost,Daily,25/02/2025,25/02/2025,1,15.246477,111
PizzaRoma,OwnWebsite,StoreElstCenter,XGBoost,Daily,26/02/2025,26/02/2025,1,19.033285,111
PizzaRoma,OwnWebsite,StoreElstCenter,XGBoost,Daily,27/02/2025,27/02/2025,1,16.890408,111
PizzaRoma,OwnWebsite,StoreElstCenter,XGBoost,Daily,28/02/2025,28/02/2025,1,15.898043,111
PizzaRoma,OwnWebsite,StoreElstCenter,XGBoost,Daily,1/3/25,1/3/25,1,15.619087,111
PizzaRoma,OwnWebsite,StoreElstCenter,XGBoost,Daily,2/3/25,2/3/25,1,19.420908,111
PizzaRoma,Pickup,StoreElstCenter,XGBoost,Daily,24/02/2025,24/02/2025,1,18.93338,111
PizzaRoma,Pickup,StoreElstCenter,XGBoost,Daily,25/02/2025,25/02/2025,1,16.719515,111
PizzaRoma,Pickup,StoreElstCenter,XGBoost,Daily,26/02/2025,26/02/2025,1,15.85148,111
PizzaRoma,Pickup,StoreElstCenter,XGBoost,Daily,27/02/2025,27/02/2025,1,17.88826,111
PizzaRoma,Pickup,StoreElstCenter,XGBoost,Daily,28/02/2025,28/02/2025,1,17.835985,111
PizzaRoma,Pickup,StoreElstCenter,XGBoost,Daily,1/3/25,1/3/25,1,17.011555,111
PizzaRoma,Pickup,StoreElstCenter,XGBoost,Daily,2/3/25,2/3/25,1,18.434769,111
PizzaRoma,Thuisbezorgd,StoreElstCenter,XGBoost,Daily,24/02/2025,24/02/2025,1,16.34421,111
PizzaRoma,Thuisbezorgd,StoreElstCenter,XGBoost,Daily,25/02/2025,25/02/2025,1,16.191967,111
PizzaRoma,Thuisbezorgd,StoreElstCenter,XGBoost,Daily,26/02/2025,26/02/2025,1,15.701924,111
PizzaRoma,Thuisbezorgd,StoreElstCenter,XGBoost,Daily,27/02/2025,27/02/2025,1,18.698517,111
PizzaRoma,Thuisbezorgd,StoreElstCenter,XGBoost,Daily,28/02/2025,28/02/2025,1,15.349518,111
PizzaRoma,Thuisbezorgd,StoreElstCenter,XGBoost,Daily,1/3/25,1/3/25,1,16.960163,111
PizzaRoma,Thuisbezorgd,StoreElstCenter,XGBoost,Daily,2/3/25,2/3/25,1,18.94393,111
PizzaRoma,OwnWebsite,StoreNijmegenCenter,XGBoost,Daily,24/02/2025,24/02/2025,1,16.17892,111
PizzaRoma,OwnWebsite,StoreNijmegenCenter,XGBoost,Daily,25/02/2025,25/02/2025,1,15.064354,111
PizzaRoma,OwnWebsite,StoreNijmegenCenter,XGBoost,Daily,26/02/2025,26/02/2025,1,15.823322,111
PizzaRoma,OwnWebsite,StoreNijmegenCenter,XGBoost,Daily,27/02/2025,27/02/2025,1,17.567593,111
PizzaRoma,OwnWebsite,StoreNijmegenCenter,XGBoost,Daily,28/02/2025,28/02/2025,1,18.610823,111
PizzaRoma,OwnWebsite,StoreNijmegenCenter,XGBoost,Daily,1/3/25,1/3/25,1,18.708279,111
PizzaRoma,OwnWebsite,StoreNijmegenCenter,XGBoost,Daily,2/3/25,2/3/25,1,17.345936,111
PizzaRoma,Pickup,StoreNijmegenCenter,XGBoost,Daily,24/02/2025,24/02/2025,1,16.602777,111
PizzaRoma,Pickup,StoreNijmegenCenter,XGBoost,Daily,25/02/2025,25/02/2025,1,16.921358,111
PizzaRoma,Pickup,StoreNijmegenCenter,XGBoost,Daily,26/02/2025,26/02/2025,1,13.713161,111
PizzaRoma,Pickup,StoreNijmegenCenter,XGBoost,Daily,27/02/2025,27/02/2025,1,17.543415,111
PizzaRoma,Pickup,StoreNijmegenCenter,XGBoost,Daily,28/02/2025,28/02/2025,1,16.869402,111
PizzaRoma,Pickup,StoreNijmegenCenter,XGBoost,Daily,1/3/25,1/3/25,1,15.483705,111
PizzaRoma,Pickup,StoreNijmegenCenter,XGBoost,Daily,2/3/25,2/3/25,1,17.051956,111
PizzaRoma,Thuisbezorgd,StoreNijmegenCenter,XGBoost,Daily,24/02/2025,24/02/2025,1,16.734247,111
PizzaRoma,Thuisbezorgd,StoreNijmegenCenter,XGBoost,Daily,25/02/2025,25/02/2025,1,16.742882,111
PizzaRoma,Thuisbezorgd,StoreNijmegenCenter,XGBoost,Daily,26/02/2025,26/02/2025,1,16.612946,111
PizzaRoma,Thuisbezorgd,StoreNijmegenCenter,XGBoost,Daily,27/02/2025,27/02/2025,1,17.486736,111
PizzaRoma,Thuisbezorgd,StoreNijmegenCenter,XGBoost,Daily,28/02/2025,28/02/2025,1,16.732697,111
PizzaRoma,Thuisbezorgd,StoreNijmegenCenter,XGBoost,Daily,1/3/25,1/3/25,1,18.092842,111
PizzaRoma,Thuisbezorgd,StoreNijmegenCenter,XGBoost,Daily,2/3/25,2/3/25,1,17.67037,111
VeganChilly,OwnWebsite,StoreAmsterdamCenter,XGBoost,Daily,24/02/2025,24/02/2025,1,19.546492,111
VeganChilly,OwnWebsite,StoreAmsterdamCenter,XGBoost,Daily,25/02/2025,25/02/2025,1,15.584391,111
VeganChilly,OwnWebsite,StoreAmsterdamCenter,XGBoost,Daily,26/02/2025,26/02/2025,1,17.57946,111
VeganChilly,OwnWebsite,StoreAmsterdamCenter,XGBoost,Daily,27/02/2025,27/02/2025,1,14.582486,111
VeganChilly,OwnWebsite,StoreAmsterdamCenter,XGBoost,Daily,28/02/2025,28/02/2025,1,15.238434,111
VeganChilly,OwnWebsite,StoreAmsterdamCenter,XGBoost,Daily,1/3/25,1/3/25,1,14.454326,111
VeganChilly,OwnWebsite,StoreAmsterdamCenter,XGBoost,Daily,2/3/25,2/3/25,1,18.742699,111
VeganChilly,Pickup,StoreAmsterdamCenter,XGBoost,Daily,24/02/2025,24/02/2025,1,18.008074,111
VeganChilly,Pickup,StoreAmsterdamCenter,XGBoost,Daily,25/02/2025,25/02/2025,1,16.158997,111
VeganChilly,Pickup,StoreAmsterdamCenter,XGBoost,Daily,26/02/2025,26/02/2025,1,17.519073,111
VeganChilly,Pickup,StoreAmsterdamCenter,XGBoost,Daily,27/02/2025,27/02/2025,1,17.147383,111
VeganChilly,Pickup,StoreAmsterdamCenter,XGBoost,Daily,28/02/2025,28/02/2025,1,16.795597,111
VeganChilly,Pickup,StoreAmsterdamCenter,XGBoost,Daily,1/3/25,1/3/25,1,17.029942,111
VeganChilly,Pickup,StoreAmsterdamCenter,XGBoost,Daily,2/3/25,2/3/25,1,17.548855,111
VeganChilly,Thuisbezorgd,StoreAmsterdamCenter,XGBoost,Daily,24/02/2025,24/02/2025,1,17.408764,111
VeganChilly,Thuisbezorgd,StoreAmsterdamCenter,XGBoost,Daily,25/02/2025,25/02/2025,1,16.640549,111
VeganChilly,Thuisbezorgd,StoreAmsterdamCenter,XGBoost,Daily,26/02/2025,26/02/2025,1,15.74929,111
VeganChilly,Thuisbezorgd,StoreAmsterdamCenter,XGBoost,Daily,27/02/2025,27/02/2025,1,17.703873,111
VeganChilly,Thuisbezorgd,StoreAmsterdamCenter,XGBoost,Daily,28/02/2025,28/02/2025,1,17.384254,111
VeganChilly,Thuisbezorgd,StoreAmsterdamCenter,XGBoost,Daily,1/3/25,1/3/25,1,18.606548,111
VeganChilly,Thuisbezorgd,StoreAmsterdamCenter,XGBoost,Daily,2/3/25,2/3/25,1,17.02835,111
VeganChilly,OwnWebsite,StoreAmsterdamZuid,XGBoost,Daily,24/02/2025,24/02/2025,1,14.265822,111
VeganChilly,OwnWebsite,StoreAmsterdamZuid,XGBoost,Daily,25/02/2025,25/02/2025,1,17.29125,111
VeganChilly,OwnWebsite,StoreAmsterdamZuid,XGBoost,Daily,26/02/2025,26/02/2025,1,18.727545,111
VeganChilly,OwnWebsite,StoreAmsterdamZuid,XGBoost,Daily,27/02/2025,27/02/2025,1,15.593917,111
VeganChilly,OwnWebsite,StoreAmsterdamZuid,XGBoost,Daily,28/02/2025,28/02/2025,1,17.53309,111
VeganChilly,OwnWebsite,StoreAmsterdamZuid,XGBoost,Daily,1/3/25,1/3/25,1,16.846115,111
VeganChilly,OwnWebsite,StoreAmsterdamZuid,XGBoost,Daily,2/3/25,2/3/25,1,15.440378,111
